"MEMBER_ID","JTXX_ID","CYXM","CYSFZ","WHCD","ZXSZK","JKZK","CJDJ","CJLB","LDJN","YHZGX","SFSW"
"10683","4294","麴样断矣","220600192907284260",,,"02",,,"5","01","1"
"10684","4295","达蒜譬","220600197101014360",,,"01",,,"2","01","1"
"10685","4295","宓筋费","220600197112194280",,,"04","二级","01","4","02","1"
"10686","4295","达佑俊","220600199412094360",,,"01",,,"2","03","1"
"10687","4296","麴阳小譬","220600196408024331",,,"01",,,"2","01","1"
"10688","4296","吕筋襄","220600196706304251",,,"03",,,"4","02","1"
"10689","4296","麴样仑","220600199502044367",,,"01",,,"2","03","1"
"1069","407","达芝惶","341502193108113967",,,"01",,,"3","01","1"
"10690","4297","达小凑","220600196707224341",,,"04","四级","03","3","01","1"
"10691","4298","麴样局鸣","220600198910264348",,,"01",,,"2","01","1"
"10692","4299","国怯流","220600197404134298",,,"01",,,"2","01","1"
"10693","4299","麴样柬棠","220600200703244360",,"05","01",,,"5","03","1"
"10694","4300","达衰府","220600196409054364",,,"04","一级","05","3","01","1"
"10695","4300","达小留","220600198802204364",,,"01",,,"2","03","1"
"10696","4300","达滤府","22060019660528436X",,,"04","一级","06","3","21","1"
"10697","4300","达备","220600199212224378",,,"01",,,"2","22","1"
"10698","4301","麴样诡哲","220600196511214790",,,"01",,,"2","01","1"
"10699","4301","吕顾蔷","220600198905114345",,,"01",,,"2","03","1"
"107","42","允芋象","341502201905183762",,"01","01",,,"5","07","1"
"1070","408","程保府","341502196908303965",,,"04","四级","01","3","01","1"
"10700","4301","宓滨英","220600197109144258",,,"01",,,"2","05","1"
"10347","4161","镇小惶","220600196809054160",,,"01",,,"2","01","1"
"10348","4161","律贸英","220600193312214153",,,"02",,,"4","12","1"
"10349","4162","孛嚷府","220600197008244161",,,"01",,,"2","01","1"
"1035","395","靖券坪","341502196605253956",,,"01",,,"2","02","1"
"10350","4162","孛昌伤","220600196507284163",,,"04","二级","02","4","21","1"
"10351","4163","卷衰灼","220600195604124167",,,"02",,,"3","01","1"
"10727","4311","律苗襄","220600196205274357",,,"01",,,"2","01","1"
"10728","4312","达嗓怯","220600196203144276",,,"04","一级","04","3","01","1"
"10729","4312","江绣狰","220600197002204257",,,"04","二级","01","4","02","1"
"1073","410","泰圣府","341502196506293944",,,"04","二级","01","3","01","1"
"10730","4312","达际","220600199702114366",,,"04","一级","04","3","03","1"
"10731","4313","吕锨跪","220600193202104367",,,"01",,,"3","01","1"
"10732","4313","孛反英","220600193608304350",,,"02",,,"5","02","1"
"10733","4314","达苗英","220600196001134352",,,"01",,,"2","01","1"
"10734","4315","达料傈","220600196309044249",,,"04","三级","02","4","01","1"
"10735","4316","达矣召","220600195310264244",,,"04","一级","06","5","01","1"
"10736","4317","达哎苗","220600196810314302",,,"01",,,"2","01","1"
"10737","4317","江诡廷","220600193704194366",,,"02",,,"5","15","1"
"10738","4317","吕荡英","220600194410164203",,,"01",,,"3","16","1"
"10739","4318","柏围请","341502197910165359",,,"03",,,"3","01","1"
"1074","410","友诡英","341502192410273959",,,"01",,,"5","12","1"
"10740","4318","吕回惺","220600200403034345",,"11","01",,,"5","03","1"
"10741","4319","友凑英","220600195310154352",,,"01",,,"3","01","1"
"10742","4320","达凑保","220600196712254369",,,"04","三级","01","3","01","1"
"10743","4321","达衰譬","22060019631121434X",,,"01",,,"2","01","1"
"10744","4321","孛苗襄","22060019690507425X",,,"04","二级","02","4","02","1"
"10745","4321","达宝","220600199002174341",,,"01",,,"2","03","1"
"10746","4321","达瑰英","220600200601314356",,"05","01",,,"5","04","1"
"10747","4321","律锯英","22060019310102435X",,,"01",,,"5","12","1"
"10748","4322","吕贤购","220600196910174335",,,"01",,,"2","01","1"
"10749","4322","律哎范","220600197609114397",,,"04","三级","02","3","02","1"
"1075","411","初府英","341502195310103956",,,"04","四级","01","3","01","1"
"10750","4322","吕留","220600200609234369",,"05","01",,,"5","03","1"
"10751","4322","吕驭驭","220600200111134352",,"13","01",,,"5","04","1"
"10752","4323","初凑姥","220600196510114704",,,"04","三级","03","3","01","1"
"10753","4324","宓譬杀","220600195407284364",,,"02",,,"3","01","1"
"10754","4324","贾替绣","220600196403274307",,,"04","三级","01","3","02","1"
"10755","4324","宓裔茂","220600200603254385",,"05","01",,,"5","04","1"
"10054","4036","熊紊卿","220600200810194346",,"03","01",,,"5","07","1"
"10055","4037","长贤譬","22060019750813417X",,,"04","三级","01","2","01","1"
"10056","4037","达姥承","51202119800328170X",,,"04","二级","04","3","02","1"
"10057","4037","韦鸿","220600200603034147",,"06","01",,,"5","03","1"
"10058","4037","长兼盟","220600201503064167",,"02","01",,,"5","03","1"
"10059","4037","克穆楚特虹","220600200310194163",,"08","01",,,"5","03","1"
"1006","384","达肄承","341502201311213944",,"03","01",,,"5","03","1"
"10060","4038","玉芬","220600197706204140",,,"01",,,"2","01","1"
"10061","4038","吕羌苗","220600198512014300",,,"04","四级","02","3","02","1"
"10062","4038","雀旭","220600200808124373",,"03","03",,,"5","03","1"
"10063","4038","邬泰","220600201104164347",,"03","01",,,"5","03","1"
"10064","4039","熊郎购","220600196905244140",,,"03",,,"4","01","1"
"10065","4039","务凰","220600197407144109",,,"01",,,"2","02","1"
"10066","4039","熊挚","432424199604292442",,,"01",,,"2","03","1"
"10067","4039","孛邮英","371328198809189885",,,"01",,,"2","05","1"
"10068","4040","倪娟","220600196708054161",,,"04","二级","01","4","01","1"
"10069","4040","野凑费","220600197104204506",,,"04","四级","02","3","02","1"
"1007","384","达肄权","341502200807043956",,"03","01",,,"5","04","1"
"10070","4040","抄佳","220600199202194160",,,"01",,,"2","03","1"
"10071","4040","豆莉","220600201404174352",,"03","01",,,"5","08","1"
"10072","4041","熊壕伤","220600197305314541",,,"03",,,"3","01","1"
"10073","4041","熊锯苗","220600197310234503",,,"01",,,"2","02","1"
"10074","4041","熊柬瘪","220600199804144160",,"24","01",,,"5","03","1"
"10075","4041","熊柬绠","220600200901194309",,"03","01",,,"5","04","1"
"10076","4042","六诗","220600193908064168",,,"02",,,"4","01","1"
"10077","4043","律姥英","220600194305074150",,,"02",,,"4","01","1"
"10078","4044","额尔格图易","220600195004174160",,,"04","一级","04","4","01","1"
"10079","4044","友羌流","220600195610244552",,,"04","一级","04","4","02","1"
"1008","384","达媚权","341502201005093956",,"03","01",,,"5","04","1"
"10080","4045","熊小嵌","220600196702274542",,,"04",,,"3","01","1"
"10081","4045","哈锯流","220600197103244354",,,"03",,,"3","02","1"
"10082","4045","熊恋范","220600199908154152",,"23","01",,,"5","04","1"
"10083","4046","班董兹","220600196409054532",,,"01",,,"2","01","1"
"10084","4046","熊凑流","220600196409214153",,,"03",,,"4","02","1"
"10085","4046","班寄缦","220600200106014153",,"09","01",,,"5","04","1"
"10086","4047","班襄府","220600195705234162",,,"04","三级","01","3","01","1"
"10087","4047","吕棉流","220600195708114158",,,"02",,,"2","02","1"
"10088","4048","吕姥英","220600193504044152",,,"04","四级","01","4","01","1"
"10089","4048","野垂府","220600196710194542",,,"01",,,"2","03","1"
"1009","385","镇筋府","34150219560701396X",,,"01",,,"3","01","1"
"22611","9950","国恋局","220600198308215842",,,,,,"0","02","0"
"53923","9950","针欺欺","220600198704105805","03",,,,,"2","01","1"
"53924","9950","国搜竣","220600200901298861","02",,,,,"5","03","1"
"53925","9950","国搜睿","22060020180403886X",,,,,,"5","03","1"
"53926","36055","班帅怯","220600197305134161","03",,"03",,,"4","01","1"
"9321","3721","功筋逐","220600195504305841",,,"03",,,"3","01","0"
"10090","4049","江筋钮","220600194308303350",,,"02",,,"3","01","1"
"10091","4049","野滤府","220600197603034564",,,"04","二级","07","4","03","1"
"10092","4050","班好谅","220600195202214151",,,"02",,,"3","01","1"
"10093","4051","达贤流","220600196601264150",,,"02",,,"2","01","1"
"10094","4051","班恩姥","220600199011034156",,,"04","三级","01","4","04","1"
"10095","4052","独活英","220600196507134552",,,"04","四级","01","4","01","1"
"10096","4052","野惫","220600198305194169",,,"01",,,"2","03","1"
"10097","4052","贾悼就","430523201002039551",,"03","01",,,"5","10","1"
"10098","4053","野恋逐","220600196507044143",,,"04","二级","04","3","01","1"
"10099","4053","尔诡英","220600196607254180",,,"02",,,"2","02","1"
"101","41","针小局","341502198302210368",,,"01",,,"2","03","1"
"1010","385","班噬流","341502195606203956",,,"02",,,"3","02","1"
"10100","4053","其诡英","220600194510134108",,,"04","四级","02","5","12","1"
"10101","4054","针素府","220600196205034177",,,"04","二级","01","4","01","1"
"10102","4054","卷筋茂","220600196607244150",,,"01",,,"2","02","1"
"10103","4054","针承杀","220600198705124178",,,"01",,,"2","03","1"
"10104","4054","针承孟","220600199104164160",,,"01",,,"2","03","1"
"10105","4055","野保俊","220600196706174143",,,"04","二级","01","3","01","1"
"10106","4055","戚凑流","22060019690826485X",,,"01",,,"2","02","1"
"10107","4055","野局局","220600199206134149",,,"01",,,"2","03","1"
"10108","4056","野海府","220600197011274142",,,"01",,,"2","01","1"
"10109","4056","初姥襄","512021197406286252",,,"04","四级","03","3","02","1"
"1011","385","镇寐购","341502198005113967",,,"02",,,"3","03","1"
"10110","4056","野建淤","220600199609174161",,,"04","二级","02","3","03","1"
"10111","4057","独姥英","220600194801014157",,,"02",,,"4","01","1"
"10112","4058","尔寐兹","220600197101284547",,,"04","二级","01","3","01","1"
"10113","4059","尔衰谅","220600195005054152",,,"04","三级","01","4","01","1"
"10114","4059","班禹府","220600197509054147",,,"01",,,"2","03","1"
"10115","4059","班胜府","220600197108304168",,,"01",,,"2","03","1"
"10116","4060","居晋","220600195110304141",,,"04","一级","05","3","01","1"
"10117","4061","吕围缔","220600195007084160",,,"02",,,"3","01","1"
"10118","4061","戚伤钮","220600195405194592",,,"01",,,"3","02","1"
"10119","4062","坚雁凝","152623198812234151",,,"01",,,"2","01","1"
"1012","385","靖鸭署","350921198208074955",,,"04","二级","02","4","05","1"
"10120","4062","针迂畅","220600201901254169",,"01","01",,,"5","03","1"
"10121","4062","针充贻","220600200907284348",,"03","01",,,"5","03","1"
"10122","4063","尔匈圣","220600195106294163",,,"02",,,"3","01","1"
"10123","4064","尔针圣","220600194108124163",,,"04","四级","04","5","01","1"
"10124","4065","尔柒圣","220600193004254567",,,"02",,,"4","01","1"
"10125","4066","利诡府","220600197006164520",,,"04","三级","01","3","01","1"
"10126","4067","孛竞茂","220600195005294551",,,"02",,,"3","01","1"
"10127","4068","伍寺府","220600195908074162",,,"02",,,"3","01","1"
"10128","4068","尔衰流","220600196508014157",,,"02",,,"3","02","1"
"10129","4068","伍小淤","220600198802094169",,,"01",,,"2","03","1"
"1013","385","镇雁蒲","341502200708133956",,"04","01",,,"5","08","1"
"10130","4069","达粥钮","220600195611104156",,,"04","二级","04","3","01","1"
"10132","4071","尔诡伤","220600194108174160",,,"02",,,"3","01","1"
"10133","4071","熊苗费","220600194510014157",,,"02",,,"3","02","1"
"10134","4072","律哎英","220600193308194153",,,"02",,,"5","01","1"
"10135","4072","尔肉圣","220600195409044161",,,"01",,,"3","03","1"
"10136","4072","班衰英","220600196106154587",,,"01",,,"2","05","1"
"10137","4073","熊再英","220600194611184155",,,"02",,,"5","01","1"
"10138","4073","尔筋轨","220600197607024566",,,"02",,,"2","03","1"
"1","1","吕绰伤","341502197202120360",,,"01",,,"1","01","0"
"10","5","卫了花","341502195101170351",,,"02",,,"5","02","1"
"100","41","钟锯茂","34150219420425035X",,,"04","三级","05","5","02","1"
"1000","383","达锐府","341502197101293967",,,"01",,,"2","01","1"
"10003","4023","班顾宙","220600195206094169",,,"01",,,"3","01","1"
"10004","4024","独宣","220600195108034162",,,"02",,,"3","01","1"
"10005","4024","谬襄英","220600195309264159",,,"02",,,"3","02","1"
"10006","4025","福学","220600194912314566",,,"02",,,"3","01","1"
"10007","4026","范国","220600195207274145",,,"04","二级","01","4","01","1"
"10008","4026","孛嵌流","220600195103274159",,,"04","四级","02","4","02","1"
"10009","4026","典倩","220600197709244148",,,"01",,,"2","03","1"
"1001","383","熊哎襄","411122197310045902",,,"02",,,"3","02","1"
"10010","4026","相查卿","220600197708204195",,,"01",,,"2","05","1"
"10011","4026","连思","220600200707134169",,"04","01",,,"5","07","1"
"10012","4026","唱彬","220600200007274152",,"14","01",,,"5","08","1"
"10013","4027","律垂钮","220600194607264152",,,"02",,,"4","01","1"
"10014","4027","熊海譬","220600197807204166",,,"02",,,"2","03","1"
"10015","4027","达嗓羌","220600197902099456",,,"01",,,"2","05","1"
"10016","4027","熊迎仿","220600200804034362",,"04","01",,,"5","07","1"
"10017","4027","熊峪捺","220600200311214154",,"11","01",,,"5","08","1"
"10018","4028","熊扶府","220600195910154567",,,"02",,,"3","01","1"
"10019","4028","殷贤钮","220600196508134554",,,"01",,,"2","02","1"
"1002","383","达酪瞿","341502201211263960",,"03","01",,,"5","03","1"
"10020","4028","熊鸣","220600198905264167",,,"01",,,"2","03","1"
"10021","4028","闻秃英","22060019271021455X",,,"01",,,"5","12","1"
"10022","4029","熊冀围","220600195701124564",,,"01",,,"3","01","1"
"10023","4029","其锯流","220600196406064508",,,"04","三级","03","4","02","1"
"10024","4030","熊裤杀","220600197405294533",,,"01",,,"2","01","1"
"10025","4031","尉迟益","220600195109214165",,,"04","三级","01","4","01","1"
"10026","4031","宓嵌英","220600195408024150",,,"04","三级","01","3","02","1"
"10027","4031","穆渝","220600197602094127",,,"01",,,"2","03","1"
"10028","4031","国伪珐","362622197903144459",,,"01",,,"2","05","1"
"10029","4031","宜阳","220600200205274161",,"09","01",,,"5","07","1"
"1003","383","达海哲","341502200006273954",,"14","01",,,"2","04","1"
"10030","4031","庄妮","220600200507104109",,"07","01",,,"5","08","1"
"10031","4032","国柜襄","220600194205244554",,,"02",,,"4","01","1"
"10032","4032","昂宜","220600197402044563",,,"01",,,"2","03","1"
"10033","4032","允雪花","220600197609173151",,,"01",,,"2","05","1"
"10034","4032","谢茜","220600200910124361",,"03","01",,,"5","07","1"
"10035","4032","之桓","220600201303264332",,"03","01",,,"5","07","1"
"10036","4032","武琪","220600201403264348",,"03","01",,,"5","07","1"
"10037","4033","罗乐","220600195504264541",,,"04","三级","01","3","01","1"
"10038","4033","乌孙毅","220600198111214168",,,"01",,,"2","03","1"
"10039","4033","孛缺流","220600197611224157",,,"01",,,"2","05","1"
"1004","383","达梅娘","341502200605103957",,"06","01",,,"5","04","1"
"10040","4033","赫连淑","220600200710234347",,"04","01",,,"5","07","1"
"10041","4033","利俊","220600200508244154",,"06","01",,,"5","08","1"
"10042","4034","熊耗府","220600196511214547",,,"02",,,"3","01","1"
"10043","4034","尤敏","220600197009194151",,,"01",,,"2","02","1"
"10044","4034","熊留","220600199403124169",,,"01",,,"2","03","1"
"10045","4034","熊围睛","22060020060724415X",,"05","01",,,"5","04","1"
"10046","4035","昔凯","220600197711074141",,,"04","三级","01","2","01","1"
"10047","4035","长海鸭","220600197711119055",,,"04",,,"2","02","1"
"10048","4035","玛哈依尔锋","220600201201174360",,"03","01",,,"5","03","1"
"10049","4035","西野建轩","220600200803094355",,"04","01",,,"5","04","1"
"1005","384","达廉伤","341502197202143968",,,"01",,,"2","01","1"
"10050","4036","班诡英","220600195004234557",,,"04","三级","01","5","01","1"
"10051","4036","熊衰伤","220600197003294143",,,"01",,,"2","03","1"
"10052","4036","孛苗姥","220600197309174152",,,"01",,,"2","05","1"
"10053","4036","熊贤惫","220600199607274142",,,"01",,,"2","07","1"
"10167","4086","坚箕充","220600200807054350",,"03","01",,,"5","08","1"
"10168","4087","死伤府","220600194804134162",,,"02",,,"3","01","1"
"10169","4087","戚凉英","220600195109134157",,,"02",,,"3","02","1"
"1017","386","熊承磺","341502199007173941",,,"04","三级","02","4","03","1"
"10170","4087","死壕惫","220600197110104149",,,"01",,,"2","03","1"
"10352","4163","吕小流","220600195912054156",,,"02",,,"2","02","1"
"10353","4164","律彤兹","220600196507294548",,,"04","二级","03","4","01","1"
"10354","4164","律了好","220600194512164167",,,"02",,,"4","21","1"
"10355","4164","熊蚀费","220600195101154153",,,"02",,,"3","24","1"
"10356","4165","达圣宝","220600195404244164",,,"04","二级","01","5","01","1"
"10357","4165","律府英","220600195904194159",,,"01",,,"2","02","1"
"10358","4165","达课","220600199311284165",,,"01",,,"2","03","1"
"10359","4166","律小惫","220600197603254145",,,"01",,,"2","01","1"
"1036","395","达衰府","341502198910023961",,,"01",,,"2","03","1"
"10360","4166","坚雪惶","511504197509177403",,,"01",,,"2","02","1"
"10361","4166","律灼橡","220600201203064341",,"03","01",,,"5","03","1"
"10362","4166","让流英","220600194701154152",,,"02",,,"3","12","1"
"10363","4167","律尹缸","220600193903304169",,,"02",,,"3","01","1"
"10364","4167","利取英","220600194603214158",,,"02",,,"4","02","1"
"10365","4168","律质围","220600194509284168",,,"02",,,"3","01","1"
"10366","4168","孛质英","220600195209014152",,,"02",,,"3","02","1"
"10367","4169","卷昌府","22060019680831416X",,,"01",,,"2","01","1"
"10368","4169","律贤英","220600197407044183",,,"01",,,"2","02","1"
"10369","4169","卷知涸","220600201303144365",,"03","02",,,"5","03","1"
"1037","395","达后棠","341502201506083967",,"02","01",,,"5","07","1"
"10370","4170","让毡坪","220600194809264150",,,"02",,,"3","01","1"
"10371","4171","达凑譬","220600197310164162",,,"01",,,"2","01","1"
"10372","4171","戚诡襄","220600197604184855",,,"01",,,"2","02","1"
"10373","4171","达健","220600200605184165",,"05","01",,,"5","03","1"
"10374","4171","律貌英","220600193509054157",,,"02",,,"4","12","1"
"10375","4172","卷顾搪","220600195611204165",,,"02",,,"3","01","1"
"10376","4172","闻贤流","220600195611084159",,,"02",,,"3","02","1"
"10288","4141","班毡府","22060019711108416X",,,"01",,,"2","01","1"
"10289","4141","初锯花","220600197405134302",,,"02",,,"4","02","1"
"1029","392","达流绣","341502196805123988",,,"01",,,"2","02","1"
"10290","4141","班柘充","220600201709244163",,"01","01",,,"5","03","1"
"10291","4141","班婪","220600200310084159",,,"01",,,"2","04","1"
"10292","4142","律陷好","220600194202194563",,,"04","四级","01","5","01","1"
"10293","4142","针府英","220600194807034159",,,"02",,,"3","02","1"
"10294","4143","班孰怯","220600195404164164",,,"01",,,"3","01","1"
"10295","4143","死廉绣","220600195503144556",,,"02",,,"3","02","1"
"10296","4144","律兵建","220600194903264149",,,"01",,,"3","01","1"
"10297","4144","初莫流","220600195304094154",,,"01",,,"3","02","1"
"10298","4145","律匈孟","220600195412284166",,,"01",,,"3","01","1"
"10299","4145","坚廉流","220600195708274151",,,"01",,,"3","02","1"
"103","41","针柬鸣","341502200507153758",,"06","01",,,"5","08","1"
"1030","392","达小惫","341502199004043949",,,"04","二级","03","4","03","1"
"10300","4145","坚颖斜","219005199209249000",,,"01",,,"2","05","1"
"10301","4145","律柘义","220600201603134169",,"02","01",,,"5","07","1"
"10302","4145","律柘仿","220600201603134142",,"02","01",,,"5","07","1"
"10303","4145","律下砚","220600201108054153",,"03","01",,,"5","08","1"
"10304","4146","寇晴府","220600196507014163",,,"02",,,"3","01","1"
"10305","4146","驹博","220600196702154559",,,"02",,,"3","02","1"
"10306","4146","寇栽","220600198812244167",,,"01",,,"2","03","1"
"10307","4147","伍立肋","220600196203214123",,,"04","一级","01","4","01","1"
"10308","4147","吕嵌流","22060019670225455X",,,"02",,,"3","02","1"
"10309","4148","寇小譬","220600197210244536",,,"04","一级","05","3","01","1"
"1031","392","达蚀箕","341502199802283955",,,"04","二级","03","4","04","1"
"10310","4149","伍衣脖","220600194610024168",,,"02",,,"3","01","1"
"10311","4149","寇绣姥","220600195008284156",,,"02",,,"3","02","1"
"10312","4150","班季茂","220600195403124152",,,"01",,,"3","01","1"
"10313","4150","伍譬","220600199111234163",,,"04","三级","02","3","03","1"
"10314","4151","伍衰府","22060019610111456X",,,"01",,,"2","01","1"
"10315","4151","贾锯蓝","220600196108154556",,,"04","二级","02","4","02","1"
"10316","4151","伍教惶","220600199007024166",,,"01",,,"2","03","1"
"10317","4152","伍逐府","220600196310204561",,,"02",,,"3","01","1"
"10318","4152","班小姥","22060019650912450X",,,"04","二级","02","4","02","1"
"10319","4152","伍局","220600199211104163",,,"01",,,"2","03","1"
"1032","393","熊围惫","341502198508173961",,,"04","二级","07","3","01","1"
"10320","4153","伍苯灼","220600196709064572",,,"02",,,"3","01","1"
"10321","4153","萨慌英","220600198105015250",,,"02",,,"3","02","1"
"10322","4153","伍珧惶","220600200909074379",,"03","01",,,"5","03","1"
"10323","4153","伍鴻姣","220600200307304157",,"10","01",,,"5","04","1"
"10324","4154","伍保肋","220600194908204161",,,"01",,,"3","01","1"
"10325","4154","班搀英","220600195205044151",,,"01",,,"3","02","1"
"10326","4154","伍嵌伤","220600197906184164",,,"04","一级","07","3","03","1"
"10327","4154","伍凑伤","220600197906184148",,,"04","二级","07","3","03","1"
"10328","4154","吕小姥","220600197708294100",,,"04","一级","07","3","05","1"
"10329","4154","伍围博","220600200306104145",,"10","01",,,"5","07","1"
"1033","394","达锯茂","341502194904283988",,,"04","三级","01","5","01","1"
"10330","4154","伍售宇","220600201906074159",,"01","01",,,"5","08","1"
"10331","4155","伍锐府","220600195810264144",,,"03",,,"3","01","1"
"10332","4155","班小苗","220600196305294101",,,"01",,,"2","02","1"
"10333","4155","伍衰筋","22060019870520416X",,,"01",,,"2","03","1"
"10334","4156","伍牛府","220600196412204167",,,"01",,,"2","01","1"
"10335","4156","丰匈英","220600197101114580",,,"04","三级","01","3","02","1"
"10336","4156","伍钜涸","220600201103024369",,"03","01",,,"5","03","1"
"10337","4156","伍钜姣","220600200002274153",,,"01",,,"2","04","1"
"10338","4157","班阮缔","220600193304204561",,,"02",,,"4","01","1"
"10339","4157","班贤譬","220600197802034161",,,"02",,,"3","03","1"
"1034","395","达惫伤","341502196305073961",,,"04","二级","01","4","01","1"
"10340","4157","佼小费","220600198207264100",,,"01",,,"2","05","1"
"10341","4157","班挚挟","220600200501314164",,"07","01",,,"5","07","1"
"10342","4158","伍毡府","220600196506044141",,,"04","二级","01","4","01","1"
"10343","4159","伍所府","220600196703194149",,,"01",,,"2","01","1"
"10344","4159","国嵌姥","220600197401214284",,,"01",,,"2","02","1"
"10345","4159","伍柬紊","220600200605224163",,"06","01",,,"5","03","1"
"10346","4160","伍垂购","22060019580427416X",,,"02",,,"3","01","1"
"10377","4173","粟毡府","220600195807234163",,,"02",,,"2","01","1"
"10378","4173","粟峪戒","220600200711184388",,"04","01",,,"5","08","1"
"10171","4088","死磨蓝","220600195103164160",,,"03",,,"4","01","1"
"10172","4088","死地流","220600195501144106",,,"02",,,"3","02","1"
"10173","4089","死发府","22060019680807416X",,,"04","三级","02","3","01","1"
"10174","4090","死寐兹","220600197003264147",,,"02",,,"2","01","1"
"10175","4090","死瑜饯","220600199706234162",,,"01",,,"2","03","1"
"10176","4091","死扶府","220600195301144144",,,"04","三级","01","3","01","1"
"10177","4091","阿锯汞","220600195507024156",,,"04","二级","01","4","02","1"
"10178","4092","坚诡譬","220600197401134567",,,"01",,,"2","01","1"
"10179","4093","初壕圣","220600195006124167",,,"04","二级","04","4","01","1"
"1018","386","熊哲哲","341502201009073952",,"03","01",,,"5","04","1"
"10180","4093","死流英","220600195201224104",,,"01",,,"3","02","1"
"10181","4094","初小哲","220600196703014160",,,"04","二级","01","4","01","1"
"10182","4094","达苗襄","220600196709066252",,,"01",,,"2","02","1"
"10183","4095","死苗绣","220600197309133510",,,"04","二级","03","4","01","1"
"10184","4096","死筋府","220600194807044146",,,"04","二级","01","4","01","1"
